,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.,Click the column headers to sort the chart by the given score.
,Unnamed: 0_level_1,Nat,Skater,JGP,CS,GP,Ch,WD,MeanEventTotal,MeanEventBV,MeanEventTES,MeanEventPCS,MeanJump,MeanSpin,MeanStep Seq,MeanChor Seq,MeanSS,MeanTR,MeanPE,MeanCO,MeanIN
47,48,🇺🇸,Audrey Shin,0,2,1,1,0,176.77n=4,80.94n=4,88.08n=4,90.44n=4,5.13n=40,3.86n=24,4.72n=8,4.14n=4,7.50n=8,7.34n=8,7.53n=8,7.57n=8,7.66n=8
48,49,🇨🇭,Alexia Paganini,0,2,0,1,0,176.69n=3,83.10n=3,89.67n=3,87.69n=3,5.75n=30,3.45n=18,3.84n=6,3.81n=3,7.36n=6,7.03n=6,7.36n=6,7.34n=6,7.37n=6
49,50,🇺🇸,Ava Marie Ziegler,2,0,0,0,0,175.58n=2,85.79n=2,91.15n=2,84.43n=2,6.31n=20,3.30n=12,4.10n=4,-n=0,6.95n=4,6.83n=4,7.11n=4,7.03n=4,7.18n=4
50,51,🇺🇸,Clare Seo,2,0,0,0,0,174.83n=2,88.12n=2,92.34n=2,83.00n=2,6.11n=20,3.72n=12,4.46n=4,-n=0,6.95n=4,6.70n=4,6.99n=4,6.98n=4,7.05n=4
51,52,🇧🇪,Nina Pinzarrone,2,0,0,0,0,174.59n=2,90.96n=2,96.73n=2,78.36n=2,6.45n=20,4.08n=12,3.86n=4,-n=0,6.64n=4,6.27n=4,6.57n=4,6.54n=4,6.46n=4
52,53,🇰🇷,Seoyeon Ji,2,1,0,0,0,172.10n=3,87.42n=3,93.11n=3,78.99n=3,6.54n=30,3.32n=18,3.36n=6,3.20n=1,6.78n=6,6.24n=6,6.64n=6,6.53n=6,6.45n=6
53,54,🇩🇪,Nicole Schott,0,2,2,1,0,171.53n=5,78.74n=5,84.91n=5,87.02n=5,5.27n=50,3.55n=30,3.68n=10,3.60n=5,7.33n=10,7.03n=10,7.24n=10,7.35n=10,7.35n=10
54,55,🇨🇳,Yi Zhu,0,0,1,0,0,171.25n=1,79.86n=1,87.38n=1,84.87n=1,5.22n=10,3.81n=6,4.32n=2,3.64n=1,7.23n=2,6.80n=2,7.09n=2,7.10n=2,7.02n=2
55,56,🇰🇷,Seoyeong Wi,0,0,1,0,0,170.54n=1,89.11n=1,88.22n=1,84.32n=1,5.58n=10,3.45n=6,4.09n=2,3.50n=1,7.22n=2,6.90n=2,6.98n=2,7.25n=2,6.95n=2
56,57,🇺🇸,Kate Wang,2,0,0,0,0,170.33n=2,85.57n=2,93.74n=2,76.58n=2,6.67n=20,3.19n=12,3.93n=4,-n=0,6.52n=4,6.22n=4,6.46n=4,6.45n=4,6.39n=4
57,58,🇧🇾,Varvara Kisel,2,0,0,0,0,170.19n=2,86.06n=2,92.90n=2,78.30n=2,6.42n=20,3.60n=12,3.53n=4,-n=0,6.71n=4,6.25n=4,6.58n=4,6.49n=4,6.57n=4
58,59,🇺🇦,Anastasiia Shabotova,1,3,0,0,0,169.00n=4,88.38n=4,89.24n=4,80.76n=4,5.84n=40,3.38n=24,4.01n=8,3.48n=3,6.86n=8,6.48n=8,6.68n=8,6.74n=8,6.73n=8
